No,long,lat,group,order,region,subregion,WALK,BIKE,CAR,TAXI,BUS,TRAIN,PARA
155,-85.0956955,31.3407917,1,155,alabama,NA,-9,-9,1,-9,-9,-9,-9
156,-85.10141754,31.30068398,1,156,alabama,NA,-9,-9,1,-9,-9,-9,-9
157,-85.12434387,31.28349495,1,157,alabama,NA,-9,-9,1,-9,-9,-9,-9
158,-85.12434387,31.25484657,1,158,alabama,NA,-9,-9,1,-9,-9,-9,-9
159,-85.11287689,31.19182014,1,159,alabama,NA,-9,-9,1,-9,-9,-9,-9
160,-85.11287689,31.17463303,1,160,alabama,NA,-9,-9,1,-9,-9,-9,-9
161,-85.08996582,31.14025688,1,161,alabama,NA,-9,-9,1,-9,-9,-9,-9
162,-85.04412842,31.1116066,1,162,alabama,NA,-9,-9,1,-9,-9,-9,-9
163,-85.03839874,31.09441948,1,163,alabama,NA,-9,-9,1,-9,-9,-9,-9
164,-85.03266907,31.07723045,1,164,alabama,NA,-9,-9,1,-9,-9,-9,-9
165,-85.03266907,31.03712463,1,165,alabama,NA,-9,-9,1,-9,-9,-9,-9
166,-85.01548004,31.00274849,1,166,alabama,NA,-9,-9,1,-9,-9,-9,-9
167,-85.01548004,30.99701691,1,167,alabama,NA,-9,-9,1,-9,-9,-9,-9
168,-85.49676514,31.00847435,1,168,alabama,NA,-9,-9,1,-9,-9,-9,-9
169,-85.51967621,31.00847435,1,169,alabama,NA,-9,-9,1,-9,-9,-9,-9
170,-86.04679871,31.00847435,1,170,alabama,NA,-9,-9,1,-9,-9,-9,-9
171,-86.20149994,31.00847435,1,171,alabama,NA,-9,-9,1,-9,-9,-9,-9
172,-86.39057159,31.00847435,1,172,alabama,NA,-9,-9,1,-9,-9,-9,-9
173,-86.70569611,31.00847435,1,173,alabama,NA,-9,-9,1,-9,-9,-9,-9
174,-86.79737091,31.00847435,1,174,alabama,NA,-9,-9,1,-9,-9,-9,-9
175,-87.18125916,31.00847435,1,175,alabama,NA,-9,-9,1,-9,-9,-9,-9
176,-87.6052475,31.00847435,1,176,alabama,NA,-9,-9,1,-9,-9,-9,-9
177,-87.6052475,30.95691109,1,177,alabama,NA,-9,-9,1,-9,-9,-9,-9
178,-87.61096954,30.93399239,1,178,alabama,NA,-9,-9,1,-9,-9,-9,-9
179,-87.63389587,30.89961624,1,179,alabama,NA,-9,-9,1,-9,-9,-9,-9
180,-87.63962555,30.87669754,1,180,alabama,NA,-9,-9,1,-9,-9,-9,-9
181,-87.63389587,30.85950851,1,181,alabama,NA,-9,-9,1,-9,-9,-9,-9
182,-87.61096954,30.84231758,1,182,alabama,NA,-9,-9,1,-9,-9,-9,-9
183,-87.54795074,30.77356339,1,183,alabama,NA,-9,-9,1,-9,-9,-9,-9
184,-87.49065399,30.72199631,1,184,alabama,NA,-9,-9,1,-9,-9,-9,-9
185,-87.46200562,30.71053886,1,185,alabama,NA,-9,-9,1,-9,-9,-9,-9
186,-87.45054626,30.69907761,1,186,alabama,NA,-9,-9,1,-9,-9,-9,-9
187,-87.42189789,30.67615891,1,187,alabama,NA,-9,-9,1,-9,-9,-9,-9
188,-87.41043854,30.64751244,1,188,alabama,NA,-9,-9,1,-9,-9,-9,-9
189,-87.41043854,30.61886406,1,189,alabama,NA,-9,-9,1,-9,-9,-9,-9
190,-87.43335724,30.58448792,1,190,alabama,NA,-9,-9,1,-9,-9,-9,-9
191,-87.46200562,30.54438019,1,191,alabama,NA,-9,-9,1,-9,-9,-9,-9
192,-87.46773529,30.52719307,1,192,alabama,NA,-9,-9,1,-9,-9,-9,-9
193,-87.46200562,30.51000404,1,193,alabama,NA,-9,-9,1,-9,-9,-9,-9
194,-87.44482422,30.49281311,1,194,alabama,NA,-9,-9,1,-9,-9,-9,-9
195,-87.39898682,30.45843697,1,195,alabama,NA,-9,-9,1,-9,-9,-9,-9
196,-87.39325714,30.44697952,1,196,alabama,NA,-9,-9,1,-9,-9,-9,-9
197,-87.40471649,30.42978668,1,197,alabama,NA,-9,-9,1,-9,-9,-9,-9
198,-87.42189789,30.42978668,1,198,alabama,NA,-9,-9,1,-9,-9,-9,-9
199,-87.43909454,30.42406082,1,199,alabama,NA,-9,-9,1,-9,-9,-9,-9
200,-87.43909454,30.41832924,1,200,alabama,NA,-9,-9,1,-9,-9,-9,-9
201,-87.45054626,30.40114212,1,201,alabama,NA,-9,-9,1,-9,-9,-9,-9
202,-87.46200562,30.38968086,1,202,alabama,NA,-9,-9,1,-9,-9,-9,-9
